id_aluno;nome;cpf_aluno;email;telefone;endereco;id_curso;turma;id_equipamento;id_facilitador;emprego_antes_resilia;emprego_pos_resilia;observacoes
1;Amanda Cincinato;88847446104;amandacincinatoo@gmail.com;7935557870;Travessa Senhor do Bonfim, 131 -Dezoito do Forte,Aracaju, SE;1;T1;;1;NÃO;SIM;
2;Henrique da Silva;49175783100;silvaherinque@hotmail.com;4725604983;Alameda Kadiz, 564 - Tabuleiro (Monte Alegre), Camboriú, SC;1;T1;7;2;SIM;SIM;
3;Márcio Rodrigues;48451632840;marcio_rodrigues@yahoo.com;8227841810;Travessa Senhor do Bonfim, 131 -Dezoito do Forte,Aracaju, SE;1;T1;11;4;SIM;SIM;
4;Lucas Brandão;86702489722;lucasbrand@gmail.com;8436572844;Alameda Kadiz, 564 - Tabuleiro (Monte Alegre), Camboriú, SC;1;T1;;3;SIM;SIM;
5;Eduardo Piccoli;11325528420;piccolieduardo@gmail.com;5135308910;Rua Eluza Brito Bila, 849 ,São Luiz II,Arapiraca, AL;1;T1;;6;NÃO;SIM;
6;Karen Muñoz;92628541025;munozmunoz@gmail.com;4735285257;Rua Francisco Gorgônio, 922, Lagoa Nova, Natal, RN;2;T2;8;8;NÃO;SIM;
7;Pedro Serur;49641374303;serur_pedro@hotmail.com;9829851630;Rua das Figueiras, 555, Rubem Berta, Porto Alegre, RS;3;T3;7;10;NÃO;SIM;
8;Sarah Figueredo;78837544758;sarahsarahf@yahoo.com;6836458009;Rua Erwin Tribess, 331, Itoupava Central, Blumenau, SC;4;T4;;15;NÃO;SIM;
9;Natalia Diniz;52486405208;diniz95natalia@gmail.com;8528063672;Rua São Benedito, 909, Vila Sarney, São Luís, MA;2;T2;;12;SIM;SIM;
10;Mariane Martins;5594708510;marianemartins98@gmail.com;9328423933;Rua Toshiba, 948, Novo Horizonte, Rio Branco, AC;2;T2;;20;SIM;SIM;
11;Rafael Boechat;19230225045;rafaelboechat88@gmail.com;7135846256;Vila Nossa Senhora de Fátima, 823, Jacarecanga, Fortaleza, CE;2;T2;;13;NÃO;SIM;
12;Mariana Silva;95168678556;marianasilvasilva@hotmail.com;8238581166;Acesso Dois, 690, Premem, Altamira, PA;2;T2;;23;SIM;SIM;
